Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (52.3236297, 4.9803051)","Metro/Tram Stop (52.2745937, 4.8307936)",495.07387169877745
"Bus Stop (52.3159853, 4.9807441)","Metro/Tram Stop (52.2745937, 4.8307936)",112.67766287044145
"Bus Stop (52.3193345, 4.9482522)","Metro/Tram Stop (52.2745937, 4.8307936)",473.571926359943
"Bus Stop (52.3251521, 4.9709409)","Metro/Tram Stop (52.2745937, 4.8307936)",221.83128534004496
"Bus Stop (52.3250716, 4.9602974)","Metro/Tram Stop (52.2745937, 4.8307936)",532.16748769131
"Bus Stop (52.3192894, 4.9840208)","Metro/Tram Stop (52.2745937, 4.8307936)",430.50935708780656
"Bus Stop (52.3249813, 4.9708409)","Metro/Tram Stop (52.2745937, 4.8307936)",212.45825496664918
"Bus Stop (52.3511629, 4.8495714)","Metro/Tram Stop (52.2745937, 4.8307936)",29.633019374770978
"Bus Stop (52.3460233, 4.8162884)","Metro/Tram Stop (52.2745937, 4.8307936)",51.363925871026254
"Bus Stop (52.3458103, 4.815886)","Metro/Tram Stop (52.2745937, 4.8307936)",73.57912855525734
"Bus Stop (52.3505651, 4.8105122)","Metro/Tram Stop (52.2745937, 4.8307936)",387.80697069185493
"Bus Stop (52.3475201, 4.8053718)","Metro/Tram Stop (52.2745937, 4.8307936)",297.02046429318926
"Bus Stop (52.3469581, 4.8053102)","Metro/Tram Stop (52.2745937, 4.8307936)",237.0863576258653
"Bus Stop (52.3537183, 4.8075959)","Metro/Tram Stop (52.2745937, 4.8307936)",87.26714227758434
"Bus Stop (52.3593589, 4.8077813)","Metro/Tram Stop (52.2745937, 4.8307936)",33.024235946626995
"Bus Stop (52.3926218, 4.9269245)","Metro/Tram Stop (52.2745937, 4.8307936)",495.3041178815236
"Bus Stop (52.3904398, 4.9456343)","Metro/Tram Stop (52.2745937, 4.8307936)",602.3196392250642
"Bus Stop (52.3941606, 4.9345553)","Metro/Tram Stop (52.2745937, 4.8307936)",873.1200353775271
"Bus Stop (52.392691, 4.9395228)","Metro/Tram Stop (52.2745937, 4.8307936)",993.2940639422875
"Bus Stop (52.3734195, 4.9064773)","Metro/Tram Stop (52.2745937, 4.8307936)",306.8253759680865
"Bus Stop (52.3926169, 4.952932)","Metro/Tram Stop (52.2745937, 4.8307936)",99.70090151951185
"Bus Stop (52.3950048, 4.9446154)","Metro/Tram Stop (52.2745937, 4.8307936)",722.7441909991891
"Bus Stop (52.3917706, 4.9539139)","Metro/Tram Stop (52.2745937, 4.8307936)",33.88512247675507
"Bus Stop (52.3941478, 4.9480037)","Metro/Tram Stop (52.2745937, 4.8307936)",474.3379872677587
"Bus Stop (52.387722, 4.9231737)","Metro/Tram Stop (52.2745937, 4.8307936)",199.6465832593016
"Bus Stop (52.3907909, 4.9458888)","Metro/Tram Stop (52.2745937, 4.8307936)",574.9993734987103
"Bus Stop (52.3723269, 4.9094836)","Metro/Tram Stop (52.2745937, 4.8307936)",96.97382899063359
"Bus Stop (52.3925736, 4.9403953)","Metro/Tram Stop (52.2745937, 4.8307936)",933.1641666264317
"Bus Stop (52.3899542, 4.9485221)","Metro/Tram Stop (52.2745937, 4.8307936)",444.78270054900366
"Bus Stop (52.3936136, 4.949413)","Metro/Tram Stop (52.2745937, 4.8307936)",361.6121090808745
"Bus Stop (52.3962327, 4.9545107)","Metro/Tram Stop (52.2745937, 4.8307936)",465.4437346541802
"Bus Stop (52.4034035, 4.9413908)","Metro/Tram Stop (52.2745937, 4.8307936)",646.275299861576
"Bus Stop (52.392479, 4.9569584)","Metro/Tram Stop (52.2745937, 4.8307936)",201.6587488744991
"Bus Stop (52.3970997, 4.9521478)","Metro/Tram Stop (52.2745937, 4.8307936)",576.1497938353622
"Bus Stop (52.3981458, 4.9322578)","Metro/Tram Stop (52.2745937, 4.8307936)",415.19368575002557
"Bus Stop (52.3976165, 4.9511011)","Metro/Tram Stop (52.2745937, 4.8307936)",650.820683282161
"Bus Stop (52.403129, 4.9424457)","Metro/Tram Stop (52.2745937, 4.8307936)",709.1712029356713
"Bus Stop (52.3955297, 4.9546564)","Metro/Tram Stop (52.2745937, 4.8307936)",388.2884619609545
"Bus Stop (52.4013769, 4.9442707)","Metro/Tram Stop (52.2745937, 4.8307936)",821.465719420854
