Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (12.91533689, 77.58569255)","Metro/Tram Stop (12.980531, 77.7088952)",446.9400569429808
"Bus Stop (12.91744075, 77.58354426)","Metro/Tram Stop (12.980531, 77.7088952)",556.9321418242604
"Bus Stop (12.92376992, 77.58377435)","Metro/Tram Stop (12.980531, 77.7088952)",464.4686440928754
"Bus Stop (12.916211, 77.615991)","Metro/Tram Stop (12.980531, 77.7088952)",566.1314929341996
"Bus Stop (12.916535, 77.608779)","Metro/Tram Stop (12.980531, 77.7088952)",960.0963540506492
"Bus Stop (12.9164504, 77.60677539)","Metro/Tram Stop (12.980531, 77.7088952)",743.0343452513523
"Bus Stop (12.91647012, 77.60434451)","Metro/Tram Stop (12.980531, 77.7088952)",479.42325352694536
"Bus Stop (12.91656178, 77.59956814)","Metro/Tram Stop (12.980531, 77.7088952)",39.41267777736028
"Bus Stop (12.91751585, 77.59505767)","Metro/Tram Stop (12.980531, 77.7088952)",519.0239135784401
"Bus Stop (12.92179556, 77.5969113)","Metro/Tram Stop (12.980531, 77.7088952)",466.10996629879
"Bus Stop (12.92663645, 77.5970395)","Metro/Tram Stop (12.980531, 77.7088952)",935.1113261224585
"Bus Stop (12.9269372, 77.59241365)","Metro/Tram Stop (12.980531, 77.7088952)",1032.0015483354425
"Bus Stop (12.92690827, 77.58973556)","Metro/Tram Stop (12.980531, 77.7088952)",744.3666779490078
"Bus Stop (12.973503, 77.582949)","Metro/Tram Stop (12.980531, 77.7088952)",177.74927586340394
"Bus Stop (12.9737513, 77.58676727)","Metro/Tram Stop (12.980531, 77.7088952)",287.2492599868073
"Bus Stop (12.9698051, 77.58725091)","Metro/Tram Stop (12.980531, 77.7088952)",181.48751900857883
"Bus Stop (12.96459373, 77.58816043)","Metro/Tram Stop (12.980531, 77.7088952)",556.450359566377
"Bus Stop (12.96087594, 77.58828532)","Metro/Tram Stop (12.980531, 77.7088952)",165.2709343803527
"Bus Stop (12.95446, 77.59148)","Metro/Tram Stop (12.980531, 77.7088952)",716.1567676823922
"Bus Stop (12.95836876, 77.5929835)","Metro/Tram Stop (12.980531, 77.7088952)",612.7956297453038
"Bus Stop (12.96747258, 77.59943909)","Metro/Tram Stop (12.980531, 77.7088952)",191.22938869683057
"Bus Stop (12.96987308, 77.60290425)","Metro/Tram Stop (12.980531, 77.7088952)",168.87105778003172
"Bus Stop (12.9720408, 77.61065209)","Metro/Tram Stop (12.980531, 77.7088952)",568.2871841326806
"Bus Stop (12.97640668, 77.60853047)","Metro/Tram Stop (12.980531, 77.7088952)",211.2931180919314
"Bus Stop (12.98303821, 77.60323522)","Metro/Tram Stop (12.980531, 77.7088952)",145.75632456732245
"Bus Stop (12.98389098, 77.59763625)","Metro/Tram Stop (12.980531, 77.7088952)",322.1758356698832
"Bus Stop (12.97891899, 77.59253453)","Metro/Tram Stop (12.980531, 77.7088952)",96.3411020750782
"Bus Stop (12.97543, 77.58645)","Metro/Tram Stop (12.980531, 77.7088952)",261.5943001962642
"Bus Stop (12.89542481, 77.55224639)","Metro/Tram Stop (12.980531, 77.7088952)",637.374912689265
"Bus Stop (12.89616647, 77.54851786)","Metro/Tram Stop (12.980531, 77.7088952)",959.8393026767015
"Bus Stop (12.8976035, 77.54622012)","Metro/Tram Stop (12.980531, 77.7088952)",1168.15578504228
"Bus Stop (12.89907131, 77.54372209)","Metro/Tram Stop (12.980531, 77.7088952)",1429.8845028478313
"Bus Stop (12.90494962, 77.54333016)","Metro/Tram Stop (12.980531, 77.7088952)",952.2598762202891
"Bus Stop (12.90696586, 77.54591739)","Metro/Tram Stop (12.980531, 77.7088952)",634.0288036852528
"Bus Stop (12.90921323, 77.54925308)","Metro/Tram Stop (12.980531, 77.7088952)",396.1709445828827
"Bus Stop (12.91174606, 77.55256828)","Metro/Tram Stop (12.980531, 77.7088952)",537.9923989645956
"Bus Stop (12.91153153, 77.55555435)","Metro/Tram Stop (12.980531, 77.7088952)",780.6204534522149
"Bus Stop (12.91201177, 77.55854993)","Metro/Tram Stop (12.980531, 77.7088952)",700.9536184524204
"Bus Stop (12.91568658, 77.56167289)","Metro/Tram Stop (12.980531, 77.7088952)",523.601128171733
"Bus Stop (12.91388942, 77.5668683)","Metro/Tram Stop (12.980531, 77.7088952)",619.2012823280353
"Bus Stop (12.91756291, 77.57344712)","Metro/Tram Stop (12.980531, 77.7088952)",259.12409862412926
"Bus Stop (12.91762498, 77.57737795)","Metro/Tram Stop (12.980531, 77.7088952)",486.971771414317
"Bus Stop (12.91998, 77.58013)","Metro/Tram Stop (12.980531, 77.7088952)",150.12875215591365
"Bus Stop (12.91747, 77.62423)","Metro/Tram Stop (12.980531, 77.7088952)",345.71510122162925
"Bus Stop (12.92506636, 77.61897982)","Metro/Tram Stop (12.980531, 77.7088952)",444.07686834768305
"Bus Stop (12.92929368, 77.62143315)","Metro/Tram Stop (12.980531, 77.7088952)",899.5342886097362
"Bus Stop (12.93089759, 77.62212662)","Metro/Tram Stop (12.980531, 77.7088952)",712.1755792314685
"Bus Stop (12.9350559, 77.62401922)","Metro/Tram Stop (12.980531, 77.7088952)",269.19645903747056
"Bus Stop (12.93812184, 77.62802308)","Metro/Tram Stop (12.980531, 77.7088952)",552.3768777945297
"Bus Stop (12.93860606, 77.63322506)","Metro/Tram Stop (12.980531, 77.7088952)",1118.5926064551638
"Bus Stop (12.94598, 77.63996)","Metro/Tram Stop (12.980531, 77.7088952)",965.198681087843
"Bus Stop (12.95232573, 77.64005648)","Metro/Tram Stop (12.980531, 77.7088952)",828.1967540124961
"Bus Stop (12.95694172, 77.64130589)","Metro/Tram Stop (12.980531, 77.7088952)",453.5591998735671
"Bus Stop (12.96055591, 77.64141459)","Metro/Tram Stop (12.980531, 77.7088952)",377.41051723346976
"Bus Stop (12.96375093, 77.6414804)","Metro/Tram Stop (12.980531, 77.7088952)",592.0888522988598
"Bus Stop (12.96650014, 77.64133486)","Metro/Tram Stop (12.980531, 77.7088952)",844.8753042756462
"Bus Stop (12.9694407, 77.64121416)","Metro/Tram Stop (12.980531, 77.7088952)",801.5719087066173
"Bus Stop (12.97370527, 77.64091164)","Metro/Tram Stop (12.980531, 77.7088952)",401.27918274088773
"Bus Stop (12.97818943, 77.64028028)","Metro/Tram Stop (12.980531, 77.7088952)",176.3654368435069
"Bus Stop (12.97808957, 77.6359556)","Metro/Tram Stop (12.980531, 77.7088952)",294.3177661421556
"Bus Stop (12.97824144, 77.63198643)","Metro/Tram Stop (12.980531, 77.7088952)",604.8272729707406
"Bus Stop (12.978018, 77.628324)","Metro/Tram Stop (12.980531, 77.7088952)",243.6665663316413
"Bus Stop (12.97283787, 77.62167153)","Metro/Tram Stop (12.980531, 77.7088952)",385.9256032217857
"Bus Stop (12.97547403, 77.61344972)","Metro/Tram Stop (12.980531, 77.7088952)",472.1488948105062
"Bus Stop (12.97727533, 77.60786964)","Metro/Tram Stop (12.980531, 77.7088952)",224.27622102853692
"Bus Stop (12.97466107, 77.58199613)","Metro/Tram Stop (12.980531, 77.7088952)",186.93632657548525
"Bus Stop (12.97704649, 77.58591646)","Metro/Tram Stop (12.980531, 77.7088952)",333.4997952283542
"Bus Stop (12.978062, 77.572342)","Metro/Tram Stop (12.980531, 77.7088952)",258.70172283626846
"Bus Stop (13.01076687, 77.50672509)","Metro/Tram Stop (12.980531, 77.7088952)",1628.3764552722332
"Bus Stop (13.01397068, 77.50892345)","Metro/Tram Stop (12.980531, 77.7088952)",1336.962129104572
"Bus Stop (13.01704123, 77.50584603)","Metro/Tram Stop (12.980531, 77.7088952)",970.6334545862411
